list-none-none,1,10,1,30,113704,3790
list-none-none,1,100,1,300,107904,359
list-none-none,1,1000,1,3000,141906,47
list-none-none,1,10000,1,30000,485718,16
list-none-none,1,20000,1,60000,872733,14
list-none-none,2,1,1,6,106104,17684
list-none-none,2,10,1,60,106905,1781
list-none-none,2,100,1,600,106504,177
list-none-none,4,1,1,12,196807,16400
list-none-none,4,10,1,120,288211,2401
list-none-none,4,100,1,1200,253310,211
list-none-none,8,1,1,24,450817,18784
list-none-none,8,10,1,240,488818,2036
list-none-none,8,100,1,2400,403215,168
list-none-none,12,1,1,36,674926,18747
list-none-none,12,10,1,360,552021,1533
list-none-none,12,100,1,3600,804930,223
list-i-none,2,1,1,6,127105,21184
list-d-none,2,1,1,6,133405,22234
list-l-none,2,1,1,6,104604,17434
list-id-none,2,1,1,6,133905,22317
list-il-none,2,1,1,6,139305,23217
list-dl-none,2,1,1,6,108804,18134
list-idl-none,2,1,1,6,107504,17917
list-i-none,2,2,1,12,110204,9183
list-d-none,2,2,1,12,105804,8817
list-l-none,2,2,1,12,105404,8783
list-id-none,2,2,1,12,106504,8875
list-il-none,2,2,1,12,107004,8917
list-dl-none,2,2,1,12,106504,8875
list-idl-none,2,2,1,12,108804,9067
list-i-none,2,4,1,24,103804,4325
list-d-none,2,4,1,24,106204,4425
list-l-none,2,4,1,24,109504,4562
list-id-none,2,4,1,24,108605,4525
list-il-none,2,4,1,24,114905,4787
list-dl-none,2,4,1,24,116504,4854
list-idl-none,2,4,1,24,114204,4758
list-i-none,2,8,1,48,114404,2383
list-d-none,2,8,1,48,124204,2587
list-l-none,2,8,1,48,124504,2593
list-id-none,2,8,1,48,117705,2452
list-idl-none,2,8,1,48,154506,3218
list-d-none,2,16,1,96,137605,1433
list-dl-none,2,16,1,96,167507,1744
list-idl-none,2,16,1,96,182807,1904
list-l-none,2,32,1,192,217908,1134
list-il-none,2,32,1,192,233109,1214
list-i-none,4,1,1,12,244210,20350
list-d-none,4,1,1,12,239909,19992
list-l-none,4,1,1,12,292111,24342
list-id-none,4,1,1,12,255609,21300
list-il-none,4,1,1,12,282211,23517
list-i-none,4,2,1,24,247909,10329
list-d-none,4,2,1,24,234609,9775
list-l-none,4,2,1,24,271610,11317
list-id-none,4,2,1,24,257009,10708
list-il-none,4,2,1,24,294711,12279
list-dl-none,4,2,1,24,258310,10762
list-idl-none,4,2,1,24,253810,10575
list-i-none,4,4,1,48,261909,5456
list-d-none,4,4,1,48,247009,5146
list-l-none,4,4,1,48,222208,4629
list-id-none,4,4,1,48,224008,4666
list-il-none,4,4,1,48,279811,5829
list-i-none,4,8,1,96,225009,2343
list-d-none,4,8,1,96,146805,1529
list-l-none,4,8,1,96,259810,2706
list-d-none,4,16,1,192,271510,1414
list-i-none,8,1,1,24,479219,19967
list-d-none,8,1,1,24,467718,19488
list-l-none,8,1,1,24,427216,17800
list-id-none,8,1,1,24,455218,18967
list-il-none,8,1,1,24,508120,21171
list-dl-none,8,1,1,24,392015,16333
list-i-none,8,2,1,48,456217,9504
list-d-none,8,2,1,48,420216,8754
list-l-none,8,2,1,48,471818,9829
list-id-none,8,2,1,48,511619,10658
list-il-none,8,2,1,48,443117,9231
list-dl-none,8,2,1,48,503819,10496
list-idl-none,8,2,1,48,492119,10252
list-i-none,8,4,1,96,475718,4955
list-l-none,8,4,1,96,593423,6181
list-id-none,8,4,1,96,421916,4394
list-il-none,8,4,1,96,565122,5886
list-dl-none,8,4,1,96,557521,5807
list-i-none,8,8,1,192,442017,2302
list-d-none,8,8,1,192,523420,2726
list-l-none,8,8,1,192,567121,2953
list-i-none,8,16,1,384,544420,1417
list-d-none,8,16,1,384,508119,1323
list-i-none,12,1,1,36,616824,17134
list-d-none,12,1,1,36,779129,21642
list-l-none,12,1,1,36,622723,17297
list-id-none,12,1,1,36,581022,16139
list-il-none,12,1,1,36,658825,18300
list-dl-none,12,1,1,36,601723,16714
list-idl-none,12,1,1,36,630624,17517
list-i-none,12,2,1,72,609123,8460
list-d-none,12,2,1,72,616423,8561
list-l-none,12,2,1,72,708627,9842
list-id-none,12,2,1,72,656325,9115
list-il-none,12,2,1,72,588422,8172
list-dl-none,12,2,1,72,743128,10321
list-idl-none,12,2,1,72,678725,9426
list-i-none,12,4,1,144,628724,4366
list-d-none,12,4,1,144,689326,4786
list-id-none,12,4,1,144,742228,5154
list-il-none,12,4,1,144,921735,6400
list-dl-none,12,4,1,144,814131,5653
list-i-none,12,8,1,288,750429,2605
list-d-none,12,8,1,288,718027,2493
list-l-none,12,8,1,288,805530,2796
list-dl-none,12,8,1,288,766730,2662
list-d-none,12,16,1,576,804530,1396
list-i-m,12,32,1,1152,1271849,1104
list-i-s,12,32,1,1152,247292379,214663
list-d-m,12,32,1,1152,1402253,1217
list-d-s,12,32,1,1152,110718499,96109
list-l-m,12,32,1,1152,2482194,2154
list-l-s,12,32,1,1152,337257290,292758
list-id-m,12,32,1,1152,2119281,1839
list-id-s,12,32,1,1152,254646558,221047
list-il-m,12,32,1,1152,3433930,2980
list-il-s,12,32,1,1152,342889004,297646
list-dl-m,12,32,1,1152,3859646,3350
list-dl-s,12,32,1,1152,309844051,268961
list-idl-m,12,32,1,1152,4490770,3898
list-idl-s,12,32,1,1152,295875222,256836
list-none-m,1,1000,1,3000,187807,62
list-none-s,1,1000,1,3000,153706,51
list-none-m,2,1000,1,6000,2746704,457
list-none-s,2,1000,1,6000,415816,69
list-none-m,4,1000,1,12000,2588998,215
list-none-s,4,1000,1,12000,1887072,157
list-none-m,8,1000,1,24000,3639038,151
list-none-s,8,1000,1,24000,5429606,226
list-none-m,12,1000,1,36000,4184259,116
list-none-s,12,1000,1,36000,9484760,263
list-none-m,16,1000,1,48000,6080831,126
list-none-s,16,1000,1,48000,12139261,252
list-none-m,24,1000,1,72000,8945440,124
list-none-s,24,1000,1,72000,19783750,274
